card-id,cardRarity,cardUrl,discordCachedUrl,GroupMember,GroupName,Theme,version
TPTRDGN,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/TEMPEST/TPTRDGN.png,https://media.discordapp.net/attachments/1275225745370775674/1275805051239006288/card-image.jpg?ex=66c7398b&is=66c5e80b&hm=d6effdc114044f1ed07e7f752b52fef3e71a467a201b37fbd047a2c3d71c7996&,Taerae,TEMPEST,Dragon,1
NDJSHFT,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/NCT+DREAM/NDJSHFT.png,https://media.discordapp.net/attachments/1275225745370775674/1275766217218723840/card-image.jpg?ex=66c71560&is=66c5c3e0&hm=dcf30f678691ffa122a88a0a3f0810b8ed5ead7650ae1ad6975e7118b049d648&,Jisung,NCT DREAM,Hello Future,1
ATMBONE,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/ASTRO/ATMBONE.png,https://media.discordapp.net/attachments/1255531443636011040/1275784309323599931/card-image.jpg?ex=66c7263a&is=66c5d4ba&hm=14edcab2c8c50d01371e5eaa4c733af27722021df29f67be2062fa305c3a9140&,Moonbin,ASTRO,ONE,1
N1TYBTM,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/NCT+127/N1TYBTM.png\n,https://media.discordapp.net/attachments/1255320233795911730/1275813231625244684/card-image.jpg?ex=66c74129&is=66c5efa9&hm=6976a0485d4e4af4718abc9d412b0cee5787b46c2b5a958d11ecaff0cf8d1b90&,Taeyong,NCT 127,Be There For Me,1
SOYRSQR,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Soloists/SOYRSQR.png,https://media.discordapp.net/attachments/1255531443636011040/1275823239444303964/card-image.jpg?ex=66c74a7b&is=66c5f8fb&hm=79d191e098defd54038799c7efb1730b8b5696b0713ff7df449ba6e1f7f37614&,Yerin Baek,Soloist,Square,1
LSVVSST,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Loossemble/LSVVSST.png,https://media.discordapp.net/attachments/1275220609869021195/1275830784036700170/card-image.jpg?ex=66c75182&is=66c60002&hm=7e103f761d2ed2aa2a0158e9ca02e147ab89a0667db577f2f5060258b0e6d8f7&,Vivi,Loossemble,Sensitive,1
RZATGAG,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/RIIZE/RZATGAG.png,https://media.discordapp.net/attachments/1275220609869021195/1275751475204849769/card-image.jpg?ex=66c707a6&is=66c5b626&hm=1ea40013fb0bda1dcdf203646998887b5c44fe89582a83e655f35ff4d1a681fa&,Anton,RIIZE,Get a Guitar,1
SKSMMNC,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Stray+Kids/SKSMMNC.png,https://media.discordapp.net/attachments/1255320654576750643/1275750458388123670/card-image.jpg?ex=66c706b3&is=66c5b533&hm=2945a5e9cd5b25a9cff0b22a25300c9d5c7f87b0e4bed263585b8172a95d9733&,Seungmin,Stray Kids,MANIAC,1
2PJHMIT,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/2PM/2PJHMIT.png,https://media.discordapp.net/attachments/1275225745370775674/1275717437240639508/card-image.jpg?ex=66c6e7f2&is=66c59672&hm=f57e1b8712f966cbb669d7199a09eb63d48a035583b00244264abba5d01e51f6&,Junho,2PM,Make It,1
F9JSFUN,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/fromis_9/F9JSFUN.png,https://media.discordapp.net/attachments/1255320246017851493/1275681171421790208/card-image.jpg?ex=66c6c62c&is=66c574ac&hm=2e301241442e290305591487ff8545f1e8558a2325bf2c9c1e4c0b8a0193cd74&,Jisun,fromis_9,FUN!,1
RZWBGAG,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/RIIZE/RZWBGAG.png,https://media.discordapp.net/attachments/1275220609869021195/1275830397980377150/card-image.jpg?ex=66c75126&is=66c5ffa6&hm=acaddac4333a4da395b309d5a68d0b76416d0fb59e7a2704f5fb0b225d972900&,Wonbin,RIIZE,Get a Guitar,1
SVJGIMA,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/SEVENTEEN/SVJGIMA.png,https://media.discordapp.net/attachments/1275220609869021195/1275757403798765608/card-image.jpg?ex=66c70d2b&is=66c5bbab&hm=389c65b1b9526d03bfacd16b42b0963cae312a5b18d4ec97406cfaa381a9358c&,Jeonghan,SEVENTEEN,Ima,1
BPJSSTD,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/BLACKPINK/BPJSSTD.png,https://media.discordapp.net/attachments/1275225745370775674/1275737515621617775/card-image.jpg?ex=66c6faa5&is=66c5a925&hm=0dd8a23f5ea027ee69b127334199abd5ce67615359bd654e8bcadd06c575102e&,Jisoo,BLACKPINK,Shut Down,1
JOSSVNS,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/JO1/JOSSVNS.png,https://media.discordapp.net/attachments/1275225745370775674/1275751108244930643/card-image.jpg?ex=66c7074e&is=66c5b5ce&hm=e485111f3c9b48772199e7f0daf5610d8d0b45fb93202a0a613720d3aee552a8&,Shosei,JO1,Venus,1
LZMJOBL,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/LOVELYZ/LZMJUNF.png,https://media.discordapp.net/attachments/1275225745370775674/1275832622706065561/card-image.jpg?ex=66c75339&is=66c601b9&hm=0170c2ef1234fe6f58ef8d0606bcc876fcbb4e2fc3f790017ecdda5715f9d3c9&,Mijoo,Lovelyz,Obliviate,1
changbin,4,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/customs/aerichandesu_custom.png,https://media.discordapp.net/attachments/1272269842371842170/1274412561856462908/card-image.jpg?ex=66c228b0&is=66c0d730&hm=9d98bdb5303f760bfdd57708617ff9dbb194f8aac62d75c5dc8144d0e433d82b&,Changbin,Stray Kids,Changbin,1
CLHJSHT,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/CLASS%3Ay/CLHJSHT.png,https://media.discordapp.net/attachments/1275225745370775674/1275815778964475926/card-image.jpg?ex=66c74389&is=66c5f209&hm=03e42c2954a592e2120edf70242eba417fe8647cab72ba16b0bba7564b1d4167&,Hyeju,CLASS:y,SHUT DOWN,1
SFTYTDR,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/SF9/SFTYTDR.png,https://media.discordapp.net/attachments/1275220609869021195/1275687948628787221/card-image.jpg?ex=66c6cc7c&is=66c57afc&hm=96c061aa6774253f5977398f2782b65524cbaa712af600e59836b4010a0b7a01&,Taeyang,SF9,Tear Drop,1
F9GYFUN,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/fromis_9/F9GYFUN.png,https://media.discordapp.net/attachments/1275220609869021195/1275811699705774172/card-image.jpg?ex=66c73fbc&is=66c5ee3c&hm=35de2344c04cd357e937847e3b21b4536e79faff1490decb7128a12eb18d30f0&,Gyuri,fromis_9,FUN!,1
GFEHCRD,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/GFRIEND/GFEHCRD.png,https://media.discordapp.net/attachments/1255320233795911730/1275734842339885056/card-image.jpg?ex=66c6f828&is=66c5a6a8&hm=273e19c16e420d539ad28d391a37e5839475be069fee4dc3559dd69be60e4b03&,Eunha,GFRIEND,Crossroads,1
TBSSTBB,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/TRI.BE/TBSSTBB.png,https://media.discordapp.net/attachments/1275225745370775674/1275797191356584029/card-image.jpg?ex=66c73239&is=66c5e0b9&hm=eb05eb344c242e3bbf73068b9852d8aa87adc839d70f4dca12225fe4e5e0a5bd&,Songsun,TRI.BE,The Bha Bha Song,1
EGSHPRT,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/EVERGLOW/EGSHPRT.png,https://media.discordapp.net/attachments/1255320233795911730/1275792602662174903/card-image.jpg?ex=66c72df3&is=66c5dc73&hm=5198c108495631c2ccf7992b41485b70e3d7d68151822f9cb9f0d5f33ac47a3e&,Sihyeon,EVERGLOW,Pirate,1
OPJWMBN,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/ONE+PACT/OPJWMBN.png,https://media.discordapp.net/attachments/1275225745370775674/1275824236665245847/card-image.jpg?ex=66c74b69&is=66c5f9e9&hm=49b22184e8c7d2a97519c276f643a0e125347dc32086232a9f847fe2c07f4ec8&,Jongwoo,ONE PACT,Must Be Nice,1
MXIMAGR,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/MONSTA+X/MXIMAGR.png,https://media.discordapp.net/attachments/1275225745370775674/1275792453823238164/card-image.jpg?ex=66c72dd0&is=66c5dc50&hm=848a0f57fdc4c1ffeea7cb32bb697eaabf7f0b722ffc47035d34eb0b48e76e78&,I.M,MONSTA X,Alligator,1
AODSOTM,3,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/events/ANGEL+OR+DEVIL%3F/AODSOTM.png,https://media.discordapp.net/attachments/1275225745370775674/1275653219413917837/card-image.jpg?ex=66c6ac23&is=66c55aa3&hm=85828a751fedb7278c6c6f451e39b313f18bb0535988cd16fc41f1dbc82336ba&,TAEMIN,Soloist,Angel or Devil?,1
PKYKNDY,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/PURPLE+KISS/PKYKNDY.png,https://media.discordapp.net/attachments/1275225745370775674/1275813867431399425/card-image.jpg?ex=66c741c1&is=66c5f041&hm=0f811bf869ea338242c049d589ff1665e30e80d3ba8abed43c78fbe4afdc0fc7&,Yuki,PURPLE KISS,Nerdy,1
NWSKWSH,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/NCT+WISH/NWSKWSH.png,https://media.discordapp.net/attachments/1255531443636011040/1275774891332730920/card-image.jpg?ex=66c71d74&is=66c5cbf4&hm=82ba2bfacd269f6da85bd2e264a61818a9f8679d13da5953b2bd58e2bb640244&,Sakuya,NCT WISH,WISH,1
TBSETBB,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/TRI.BE/TBSETBB.png,https://media.discordapp.net/attachments/1275225745370775674/1275803752351137905/card-image.jpg?ex=66c73855&is=66c5e6d5&hm=9ea82cd402653908f22dd65a821343e91d2a312353854d0e19e014b096fe2e33&,Soeun,TRI.BE,The Bha Bha Song,1
gunwook,4,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/customs/kira.c_custom.png,https://media.discordapp.net/attachments/1255577403854426133/1275848507089223690/card-image.jpg?ex=66c76204&is=66c61084&hm=2dd68949f4c265658010695cd946392ea05ba4f99d9d94d3cb7b1b2d4364f404&,Gunwook,ZEROBASEONE,paws,1
BMRKSSH,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/BABYMONSTER/BMRKSSH.png,https://media.discordapp.net/attachments/1255531443636011040/1275642092621664368/card-image.jpg?ex=66c6a1c7&is=66c55047&hm=fb89112298399ea202533a59f5012011a338fd649f5fe0654cac375d3f48612e&,Ruka,BABYMONSTER,SHEESH,1
CVJMLOD,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/CRAVITY/CVJMCLV.png,https://media.discordapp.net/attachments/1275225745370775674/1275659277930856490/card-image.jpg?ex=66c6b1c8&is=66c56048&hm=86a6d1252e0c983518efa73026c3d1b7cd7c4f920c51d965de685e67727dda20&,Jungmo,CRAVITY,Love Or Die,1
XGHVWWY,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/XG/XGHVWWY.png,https://media.discordapp.net/attachments/1275225745370775674/1275826174488219689/card-image.jpg?ex=66c74d37&is=66c5fbb7&hm=3ca3ec9ffb91050446930b716538ff68e28259db10455b242eef6d55dedefe1b&,Harvey,XG,WINTER WITHOUT YOU,1
GCJJDDR,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Golden+Child/GCJJDDR.png,https://media.discordapp.net/attachments/1255320496984297583/1275779203631157248/card-image.jpg?ex=66c72178&is=66c5cff8&hm=98452687337d1aa0b6e7b860cba02ab7352129e62cbe1143f7f8036eb6436a88&,Jangjun,Golden Child,DDARA,1
X1JHFSH,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/X1/X1JHFSH.png,https://media.discordapp.net/attachments/1255320259070791690/1275820567857070152/card-image.jpg?ex=66c747fe&is=66c5f67e&hm=674e9855524cb70b3fb9e9efaa28991d7c85b2c3d8ed4bfe876903e03355b61e&,Junho,X1,FLASH,1
G7BBNTM,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/GOT7/G7BBNTM.png,https://media.discordapp.net/attachments/1275225745370775674/1275739986146230313/card-image.jpg?ex=66c6fcf2&is=66c5ab72&hm=f448ce5466320145e227ecb4b77aceff57bdae7ab1f8c72bbb8554971f9de8f7&,BamBam,GOT7,NOT BY THE MOON,1
SVVRIMA,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/SEVENTEEN/SVVRIMA.png,https://media.discordapp.net/attachments/1255320246017851493/1275823254841458768/card-image.jpg?ex=66c74a7f&is=66c5f8ff&hm=28353c8546ab9847e46e1f5379cdcadbb3c5f5011789618cb955897aaf0d142b&,Vernon,SEVENTEEN,Ima,1
BAZLHNM,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/B.A.P/BAZLHNM.png,https://media.discordapp.net/attachments/1255531443636011040/1275644679790137416/card-image.jpg?ex=66c6a42f&is=66c552af&hm=cc0447f67a033bfbe521817ba6fc93704695ec3fcf925e7552c337893d9b3d70&,Zelo,B.A.P,HONEYMOON,1
SCSECIT,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/STAYC/SCSECIT.png,https://media.discordapp.net/attachments/1275220609869021195/1275833058418753657/card-image.jpg?ex=66c753a0&is=66c60220&hm=c7d40f5633225ef2f6f20b5c70937096acf1b21575c374aa470af0a4b9959cc2&,Seeun,STAYC,Cheeky Ice Thang,1
LSCWUFN,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/LE+SSERAFIM/LSCWUFN.png,https://media.discordapp.net/attachments/1275220609869021195/1275813768982564864/card-image.jpg?ex=66c741a9&is=66c5f029&hm=bb262a970af002ad7245f3567399e9ee9f1c51f2be8bf961440156ab6450b2a6&,Chaewon,LE SSERAFIM,UNFORGIVEN,1
&TJOSMD,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/%26TEAM/%26TJOSMD.png,https://media.discordapp.net/attachments/1275225745370775674/1275804183181922354/card-image.jpg?ex=66c738bc&is=66c5e73c&hm=733f94d2f9366502004f77bcb7aba6653f9ba9d4d07cb01e5ddb6047e4ecc461&,Jo,&TEAM,Samidare,1
SOYKGDY,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Soloists/SOYKGDY.png,https://media.discordapp.net/attachments/1275225745370775674/1275833344210505728/card-image.jpg?ex=66c753e5&is=66c60265&hm=4c089c328fef7132e3496146a0404a3e9e9bfd58f52e16254e09fefc01490b6e&,Young K,Soloist,Guard You,1
SOMYDRV,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Soloists/SOMYDRV.png,https://media.discordapp.net/attachments/1255320496984297583/1275819709194965012/card-image.jpg?ex=66c74732&is=66c5f5b2&hm=5532782c765aa4b16a219e6e320734a632d3813b53f5dea754443562d07bf35f&,MIYEON,Soloist,Drive,1
NUNNHRS,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/NiziU/NUNNHRS.png,https://media.discordapp.net/attachments/1255320220449374228/1275830907567214653/card-image.jpg?ex=66c751a0&is=66c60020&hm=d16cd4865ce4fad0c0aa9a00ded57cbb74b6cbdde30a754824573b0f3c01dbc1&,Nina,NiziU,HEARTRIS,1
ATRKONE,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/ASTRO/ATRKONE.png\n,https://media.discordapp.net/attachments/1275225745370775674/1275802990145437707/card-image.jpg?ex=66c737a0&is=66c5e620&hm=84c9116aa0257f609047b63312e0825241f4bf9c71aba4486f1db76974102df0&,Rocky,ASTRO,ONE,1
CLRWSHT,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/CLASS%3Ay/CLRWSHT.png,https://media.discordapp.net/attachments/1255320233795911730/1275825069809205248/card-image.jpg?ex=66c74c30&is=66c5fab0&hm=ada0281ee18e18c43a03e7615458c566d34cf4db6e4581266bb449059068854b&,Riwon,CLASS:y,SHUT DOWN,1
SOJSRCT,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Soloists/SOJSRCT.png,https://media.discordapp.net/attachments/1255320246017851493/1275781217496727632/card-image.jpg?ex=66c72359&is=66c5d1d9&hm=a9cd55f0a34c14d1334864143eb797e1d8973c944f90846c882cfa7da47a2dd8&,JEONG SEWOON,Soloist,Roller Coaster,1
NJHNSPN,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/NewJeans/NJHNSPN.png,https://media.discordapp.net/attachments/1255320246017851493/1275830963192201318/card-image.jpg?ex=66c751ad&is=66c6002d&hm=65cd25d207cd50dc6b2f9674c2bb2818574b2fd5aaa4c67daf45f48732599cec&,Hanni,NewJeans,Supernatural,1
GCBMDDR,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Golden+Child/GCBMDDR.png,https://media.discordapp.net/attachments/1275220609869021195/1275753495143649320/card-image.jpg?ex=66c70987&is=66c5b807&hm=009b2fe658c44438cb084cb81310120f4cb05115c662c9c342e1ff29c9392ad0&,Bomin,Golden Child,DDARA,1
OOYJLBD,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/OnlyOneOf/OOYJLBD.png,https://media.discordapp.net/attachments/1255320233795911730/1275810223059370005/card-image.jpg?ex=66c73e5c&is=66c5ecdc&hm=1e312c0fe36581c415bec6f9577c70d83faa3c3517c6dc6fc9ec0c03168d9741&,Yoojung,OnlyOneOf,libidO,1
WIYOTBD,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/WEi/WIYOTBD.png,https://media.discordapp.net/attachments/1275225745370775674/1275790884478124132/card-image.jpg?ex=66c72c59&is=66c5dad9&hm=bcaf0c0188f1b769949df138faa0e82a463c09d903d65c81dffddba0fde61b7d&,Yohan,WEi,Too Bad,1
NMSYPOC,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/NMIXX/NMSYPOC.pn,,Sullyoon,NMIXX,Party O'Clock,1
GFSWCRD,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/GFRIEND/GFSWCRD.png,https://media.discordapp.net/attachments/1275225745370775674/1275809808099967177/card-image.jpg?ex=66c73df9&is=66c5ec79&hm=e449f62a78efed66009e23c8824c46ea3563598557b194fd8fc783d1d124aef6&,Sowon,GFRIEND,Crossroads,1
RVJOPSY,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Red+Velvet/RVJOPSY.png,https://media.discordapp.net/attachments/1255531443636011040/1275831057102405765/card-image.jpg?ex=66c751c3&is=66c60043&hm=58ef6b915704b79f2874e4243b72d1d4caff982e0f79e201e8c64dd11399a871&,Joy,Red Velvet,Psycho,1
SOSYBMB,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Soloists/SOSYBMB.png,https://media.discordapp.net/attachments/1275225745370775674/1275803256852971643/card-image.jpg?ex=66c737df&is=66c5e65f&hm=421daf98f56cdbc715dd84ea0c364e2b0a35fbf0af8638cac4657421310980e5&,JEON SOYEON,Soloist,BEAM BEAM,1
GTHYSOI,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/GOT+the+beat/GTHYSOI.png,https://media.discordapp.net/attachments/1275225745370775674/1275832143356104744/card-image.jpg?ex=66c752c6&is=66c60146&hm=7e0e58047842b357d4a3223923b28d07a32979473235c3214b211eef262d3292&,Hyoyeon,GOT the beat,Stamp On It,1
NUROHRS,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/NiziU/NUROHRS.png,https://media.discordapp.net/attachments/1275225745370775674/1275803070529536010/card-image.jpg?ex=66c737b3&is=66c5e633&hm=fa72bb28bb1312ae35df0ed67d899b81f5eee5532af77758e7eaee34e0b3f1de&,Rio,NiziU,HEARTRIS,1
OMSHDDD,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/OH+MY+GIRL/OMSHDDD.png,https://media.discordapp.net/attachments/1255320259070791690/1275764690806505534/card-image.jpg?ex=66c713f4&is=66c5c274&hm=bdd9d666df7b3e1268d8f37894b8ca062fff0a0ec571c70953603096c9104376&,Seunghee,OH MY GIRL,Dun Dun Dance,1
AZSHESN,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/ATEEZ/AZSHESN.png,https://media.discordapp.net/attachments/1255320654576750643/1275703304348762172/card-image.jpg?ex=66c6dac9&is=66c58949&hm=da5556df3e7c6e264484766e5a8b382dc0e74ca3ea7157aaf923aed285b91ea9&,Seonghwa,ATEEZ,Eternal Sunshine,1
OONNLBD,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/OnlyOneOf/OONNLBD.png,https://media.discordapp.net/attachments/1275225745370775674/1275708361060646933/card-image.jpg?ex=66c6df7e&is=66c58dfe&hm=d3739f3dd2448a8691ecf9956b0eee3f9a94516b3bdf8596b5028de0293ab40e&,Nine,OnlyOneOf,libidO,1
SOSHCSE,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Soloists/SOSHCSE.png,https://media.discordapp.net/attachments/1255320654576750643/1275780470197587988/card-image.jpg?ex=66c722a6&is=66c5d126&hm=4124cdef9709005b4569d925a4083e8287473c572af8b3650a78f59eb219eefc&,SUHO,Soloist,Cheese,1
PHJSKII,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/P1Harmony/PHJSKII.png,https://media.discordapp.net/attachments/1255320259070791690/1275652909941391440/card-image.jpg?ex=66c6abda&is=66c55a5a&hm=6919c5dedb2d5b67e3658a7b8a1c0da26cf1ff1fc6febc8f7793dbf6c37a449e&,Jongseob,P1Harmony,Killin' It,1
GFYRCRD,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/GFRIEND/GFYRCRD.png,https://media.discordapp.net/attachments/1275225745370775674/1275761370226229318/card-image.jpg?ex=66c710dd&is=66c5bf5d&hm=f2ea653ecb0c99e981305972068b8c91a894fff5a63a9428170a5cdf667d9b28&,Yerin,GFRIEND,Crossroads,1
SSTFFVO,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/SNSD/SSTFFVO.png,https://media.discordapp.net/attachments/1255320246017851493/1275728431438495754/card-image.jpg?ex=66c6f22f&is=66c5a0af&hm=d64a5e0b197730f7388827100fffbef68db762f5d8d7e716be009944397349c0&,Tiffany,SNSD,Forever 1,1
OULDNOW,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/ONEUS/OULDNOW.png,https://media.discordapp.net/attachments/1275225745370775674/1275824964821319724/card-image.jpg?ex=66c74c17&is=66c5fa97&hm=40a3a50fb4ed381c0838b07a99d6850becbdb9eb98d90f256acc5949a3281e8d&,Leedo,ONEUS,Now,1
SOKHYTH,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/Soloists/SOKHYTH.png,https://media.discordapp.net/attachments/1275225745370775674/1275790100680278058/card-image.jpg?ex=66c72b9f&is=66c5da1f&hm=b3d1c1dbf6de9e53d63abde5d37141dce8477573282762a1a3c72dbe4a13b6ef&,KIHYUN,Soloist,Youth,1
AXDHSLT,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/AB6IX/AXDHSLT.png,https://media.discordapp.net/attachments/1255320233795911730/1275777559346413568/card-image.jpg?ex=66c71ff0&is=66c5ce70&hm=77ea6ff01f020ce8a5f33cea4688b5ebc2291965f47a2f4b3ac8282dc4a6cdfc&,Donghyun,AB6IX,SALUTE,1
IKCHDIV,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/iKON/IKCHDIV.png,https://media.discordapp.net/attachments/1275225745370775674/1275830025660268575/card-image.jpg?ex=66c750cd&is=66c5ff4d&hm=47cebc90fae2f0e4318148386d5872ef1aa3a912a205672a708e7262615dbbca&,Chan,iKON,Dive,1
BSJHBTR,1,https://danielle-bot-images.s3.eu-west-2.amazonaws.com/BTS/BSJHBTR.png,https://media.discordapp.net/attachments/1275220609869021195/1275806056030802114/card-image.jpg?ex=66c73a7b&is=66c5e8fb&hm=9f20b7683c3cd7834d40056ec043c5bbe4ab170376ff60717fcbd7246549ade8&,J-hope,BTS,Butter,1
